#Spectrum of SDSS J141324.27+530526.9
#downloaded from http://skyserver.sdss.org/dr16/en/tools/quicklook/summary.aspx?ra=14%2013%2024&dec=53%2005%2027
#z = 0.4563313
#Wavelength,Flux,BestFit,SkyFlux
3975.576,27.185,26.400,11.589
3976.490,26.133,26.526,12.636
3977.407,25.020,26.280,13.104
3978.322,25.421,26.394,13.740
3979.240,25.507,26.474,14.525
3980.155,25.561,26.512,15.363
3981.071,24.265,26.674,15.915
3981.989,25.903,26.583,15.923
3982.905,27.044,26.576,15.436
3983.823,26.544,26.518,14.812
3984.740,26.874,26.215,15.000
3985.659,25.824,25.995,15.022
3986.576,25.073,26.240,14.764
3987.493,26.019,26.608,15.157
3988.412,27.232,26.495,15.784
3989.330,27.524,26.585,16.356
3990.250,27.896,26.464,16.611
3991.168,29.718,26.253,16.220
3992.088,26.112,26.398,16.063
3993.006,26.418,26.612,16.589
3993.925,27.380,26.416,17.057
3994.846,27.409,26.605,16.641
3995.765,28.986,26.764,16.068
3996.686,26.518,26.734,15.702
3997.606,26.156,26.753,15.538
3998.528,26.845,26.809,15.601
3999.447,27.379,26.768,16.353
4000.368,26.877,26.749,17.048
4001.290,25.355,26.743,17.133
4002.211,25.415,26.746,17.096
4003.133,27.421,26.752,17.308
4004.054,26.558,26.707,17.385
4004.978,25.609,26.778,16.554
4005.899,25.991,26.951,15.165
4006.821,26.180,26.878,14.499
4007.745,28.293,26.735,15.522
4008.666,27.082,26.797,17.125
4009.591,27.185,26.804,18.136
4010.513,27.942,26.971,18.111
4011.438,27.451,26.977,18.024
4012.361,26.472,26.928,18.056
4013.284,26.765,26.902,18.385
4014.209,24.910,26.912,18.476
4015.133,25.515,27.035,18.011
4016.059,26.677,27.134,17.738
4016.983,26.586,27.069,17.250
4017.909,26.919,27.000,16.863
4018.833,27.878,27.095,17.031
4019.758,24.396,27.251,18.044
4020.685,25.946,27.175,18.983
4021.610,27.255,27.325,18.728
4022.537,26.059,27.219,18.458
4023.462,27.431,27.106,18.592
4024.390,27.754,27.132,17.962
4025.316,25.764,27.148,18.123
4026.242,25.297,27.035,17.673
4027.171,25.673,27.032,17.962
4028.097,25.684,27.289,18.212
4029.026,25.817,27.451,18.286
4029.953,26.166,27.400,17.640
4030.882,27.151,27.336,16.566
4031.809,26.611,27.434,15.461
4032.739,26.261,27.506,14.946
4033.667,26.384,27.539,14.935
4034.595,25.355,27.717,14.997
4035.525,25.476,27.826,15.230
4036.453,27.650,27.774,16.125
4037.384,27.933,28.013,17.116
4038.313,26.609,27.867,18.036
4039.244,26.269,27.812,18.492
4040.173,28.085,28.004,17.686
4041.103,29.010,28.055,17.281
4042.035,26.033,27.857,17.735
4042.965,25.841,28.055,18.132
4043.897,28.116,28.100,18.592
4044.827,29.267,28.366,17.253
4045.760,28.043,28.669,17.350
4046.691,27.563,28.698,20.746
4047.622,29.083,28.581,24.338
4048.555,28.856,28.868,24.109
4049.486,28.681,29.044,21.015
4050.420,29.023,29.171,19.079
4051.352,27.843,29.227,18.549
4052.286,27.814,29.412,18.117
4053.218,28.655,29.691,17.182
4054.151,30.759,29.591,16.569
4055.086,30.760,29.988,16.515
4056.019,29.472,29.992,16.787
4056.954,30.707,30.003,16.107
4057.887,30.500,30.285,15.272
4058.823,31.710,30.627,14.945
4059.757,30.141,30.863,15.655
4060.691,29.869,31.129,16.812
4061.627,32.600,31.378,17.540
4062.561,34.094,31.703,16.784
4063.498,33.935,31.882,15.262
4064.433,33.560,31.878,14.659
4065.370,34.527,32.276,15.484
4066.305,36.236,32.678,16.623
4067.241,36.409,32.992,16.521
4068.179,34.489,33.310,16.697
4069.115,35.504,33.526,17.226
